所在城市,医院名称,目前处理进度（不定时更新）,所需物资,规格,地址,联系方式,其他信息,,
汉川,汉川市人民医院,已核实仍然需要-1月25日17：42,N95/外科口罩/护目镜/防护服/一次性医用口罩/防冲击眼罩/防护面罩/医用帽," 医用防护N95：GB19083-2010
医用外科口罩：YY0469-2011
防护服 ：GB 19082-2003《医用一次性防护服技术要求》",汉川市人民大道特一号汉川市人民医院设备科,0712-8377033 凌主任 +86 1387192201,,,
仙桃,仙桃市第一人民医院,,N95/外科口罩/护目镜/一次性医用防护服/一次性医用口罩/一次性手术衣/防护面罩/医用帽,"医用防护N95：GB19083-2010
医用外科口罩：YY0469-2011
防护服 ：GB 19082-2003《医用一次性防护服技术要求》",仙桃市沔州大道中段29号物资供应科,关键 13707223566   彭铁军 13593918277,,,
襄阳,襄阳市中心医院,"1.口罩 防护服 防护眼镜 鞋套 尽可能的多 数量暂不确定 
2.通道顺畅不确定 ，需要后续联系 
3.顺丰通畅 
4.寄送时需要纸条标注寄送人。（最后更新：25日14:48）",N95/医用防护罩/医用外科口罩/护目镜/防护眼镜/防污染鞋套/医用一次性乳胶手套/医用帽/其他感控设备," 医用防护N95：GB19083-2010
医用外科口罩：YY0469-2010
防护服 ：GB 19082-2009《医用一次性防护服技术要求》
护目镜：视野开阔，有弹力佩戴，具备防溅功能
其他控感设备：空气消毒、测体温等设备",湖北省襄阳市襄城区荆州街136号襄阳市中心医院设备处,黄老师 13871636299  金老师 13871655550,"1.口罩 防护服 防护眼镜 鞋套 尽可能的多 数量暂不确定 
2.通道顺畅不确定 ，需要后续联系 
3.顺丰通畅 
4.寄送时需要纸条标注寄送人。",,
襄阳,襄阳市中医医院,"（电话确认，急需！）1.最缺N95和一次性防护服（急需!!） 口罩只剩下45个N95 （需要500-1000），防护服(300)外科口罩尽可能的多 
2.顺丰绿色通道 ，货车进不来可以自己开车接。（最后更新：25日14:56）
",医用防护口罩/医用外科口罩/防护服/鞋套/防护手套/护目镜/面屏/一次性圆帽/医用紫外消毒车/电子体温仪," 医用防护N95：GB19083-2010
医用外科口罩：YY0469-2011
防护服 ：GB 19082-2003《医用一次性防护服技术要求》
一次性手术以有注册证
医用紫外线消毒车有注册证",湖北省襄阳市樊城区长征路24号襄阳中医医院医务处,17707254320,"（电话确认，急需！）1.最缺N95和一次性防护服（急需!!） 口罩只剩下45个N95 （500-1000），防护服(300)外科口罩尽可能的多 
2.顺丰绿色通道 ，货车进不来可以自己开车接。
",,
襄阳,"襄阳市中西医结合医院
（东风人民医院）",,N95防护口罩/医用防护服/医用外科口罩/护目镜/防护眼镜/防污染鞋套/胶鞋/医用一次性乳胶手套/其他感控设备," 医用防护N95：GB19083-2010
医用外科口罩：YY0469-2010
防护服 ：GB 19082-2009《医用一次性防护服技术要求》
护目镜：视野开阔，有弹力佩戴，具备防溅功能
医用酒精：浓度75%以上
其他控感设备：空气消毒、测体温等设备",湖北省襄阳市高新区东风汽车大道16号 襄阳市中西医结合医院（东风人民医院）设备信息部,"华超13871760329
07103393064",,,
宜昌,宜昌市第一人民医院,1. 急缺防护面罩（500）一次性防护服（500）防护鞋套（500）N95越多越好 2.物流有绿色通道，走顺丰。（最后更新：25日14:59）,N95/一次性医用外科口罩/护目镜/防护服/防护面罩/84消毒液/一次性消毒床罩/一次性普通口罩/一次性医用帽/一次性手术衣/一次性医用手套,大量,湖北省宜昌市第一人民医院解放路2号医技楼3楼医工部库房（已核实）,胡世辉 13986827688  王文芳 13872503410  林卫 13997677556,1. 急缺防护面罩（500）一次性防护服（500）防护鞋套（500）N95越多越好 2.物流有绿色通道，走顺丰。,,
宜昌,宜昌市第二人民医院,"重点物资：n95（9132/1860）防护口罩，一次性手术衣，
医用外科口罩，医用防护服，护目镜，长筒防护鞋套，防护面罩
一般物资：一次性圆帽，防冲击眼罩，速干手消毒液，医用紫外线消毒车（最后更新：25日15:03）
",N95/外科口罩/护目镜/防护服/一次性手术服/防冲击眼罩/防护面罩/紫外线消毒车/护目镜/防护面罩,大量,湖北省宜昌市西陵路21号宜昌市第二人民医院新型冠状病毒感染肺炎疫情防控指挥部,"左伟(设备科) 13697282238
龚春燕(药剂科) 13908609328",,,
宜昌,三峡大学附属仁和医院,急需物资：N95（有注册证、无阀门）/一次性医用外科口罩/护目镜/防护服（连体带鞋套）/防护面罩/84消毒液/一次性消毒床罩/一次性普通口罩/一次性医用帽/一次性手术衣/一次性医用手套   急需药品：阿比多尔片、奥司他韦颗粒,急需物资：N95（有注册证、无阀门）/一次性医用外科口罩/护目镜/防护服（连体带鞋套）/防护面罩/84消毒液/一次性消毒床罩/一次性普通口罩/一次性医用帽/一次性手术衣/一次性医用手套   急需药品：阿比多尔片、奥司他韦颗粒," 医用防护N95：GB19083-2010
医用外科口罩：YY0469-2010
防护服 ：GB 19082-2009《医用一次性防护服技术要求》
护目镜：视野开阔，有弹力佩戴，具备防溅功能
医用酒精：浓度75%以上
其他控感设备：空气消毒、测体温等设备",湖北省宜昌市夷陵大道410号 三峡大学附属仁和医院（已核实）,王平13997712859；申西华12872631977；廖勇13986828368；代金枝13972001441,,,已配送
宜昌,宜昌市夷陵医院,,,,,,,,
宜昌,宜昌市第三人民医院,护目镜、N95口罩、外科口罩、一次性医用口罩、医用帽、防护服、手术衣、防冲击眼罩、防护面罩,护目镜、N95口罩、外科口罩、一次性医用口罩、医用帽、防护服、手术衣、防冲击眼罩、防护面罩," 医用防护N95：GB19083-2010
医用外科口罩：YY0469-2010
防护服 ：GB 19082-2009《医用一次性防护服技术要求》
护目镜：视野开阔，有弹力佩戴，具备防溅功能
医用酒精：浓度76%以上
其他控感设备：空气消毒、测体温等设备",湖北省宜昌市西陵区港窑路23号宜昌市第三人民医院总务科（已核实）,李金桥13997661829；付亚男13872505170；黄全祥13617175388,,,
宜昌枝江,枝江市人民医院,,,,,,,,
宜昌宜都,宜都市第一人民医院,急需N95防护口罩3万个，外科口罩3万，普通口罩5万，防护服1万件，面罩1000个，眼罩1000个，75%酒精1万瓶，84消毒液1万，手消1万,急需N95防护口罩3万个，外科口罩3万，普通口罩5万，防护服1万件，面罩1000个，眼罩1000个，75%酒精1万瓶，84消毒液1万，手消1万,,湖北省宜都市陆城东正街52号宜都第一人民医院（已核实）,李黎明18086382821,,,已配送
黄冈罗田,罗田县人民医院,1000个N95口罩，100护目镜，防护服（主要）,N95/医用防护服/医用一次性乳胶手套/护目镜/防污染鞋套/医用外科口罩/医用帽/一次性手术衣/防护面罩,"N95口罩符合《医用防护口罩技术要求》GB19083-2010医用防护服符合《医用一次性防护服技术要求》GB19082-2009符合一次性使用橡胶手套技术要求GB10213-20060469防护眼镜视野开阔，有弹力带佩戴，具有防溅功能。医用外科口罩符合YY0469-2011技术要求
",湖北省黄冈市罗田县凤山镇王葆心大道7号,江主任 13636093228,1000个N95口罩，100护目镜，防护服（主要）,,
襄阳,襄阳市中心医院,,N95/外科口罩/护目镜/防护服/一次性手术服/防冲击眼罩/防护面罩/医用帽/鞋套,大量,湖北省襄阳市襄城区荆州街136号襄阳市中心医院设备处,"设备处黄老师: 13871636299
金老师: 13871655550",,,500个n95
应城,应城市人民医院,,护目镜/N95/外科口罩/一次性医用口罩/医用帽/防护服/手术衣/防冲击眼罩/防护面罩," 医用防护N95：GB19083-2010
医用外科口罩：YY0469-2011
防护服 ：GB 19082-2003《医用一次性防护服技术要求》",应城市蒲阳大道69号应城人民医院动力设备科,0712-3245536  刘主任 +86 13797118609,,,
京山,京山市人民医院,,N95/外科口罩/护目镜/防护服/一次性手术服/防冲击眼罩/防护面罩/医用帽,"医用防护口罩：GB19083-2010
医用外科口罩：YY0469-2010、YY0469-2011
防护服 ：GB 19082-2003《医用一次性防护服技术要求》",湖北省京山市新市镇京源大道448号协和京山医院/京山市人民医院设备处,"张老师：13972873417
胡老师：13986982801",,,
鄂州,鄂州市中心医院,,N95/外科口罩/一次性医用口罩/医用帽/防护服/手术衣/防冲击面罩/防护面罩,"医用防护N95：GB19083-2010
医用外科口罩：YY0469-2011
防护服 ：GB 19082-2003《医用一次性防护服技术要求》
防护眼镜：GB19082-2009
防护面罩、手术衣、医用帽",湖北省鄂州市文星路9号,0711-3251382  江老师 13971986663,,,
天门,天门市第一人民医院,,N95/医用外科口罩/护目镜/医用防护服/一次性手术衣/防冲击眼罩/防护面罩/医用帽,"医用防护N95：GB19083-2010
医用外科口罩：YY0469-2011
防护服 ：GB 19082-2003《医用一次性防护服技术要求》
防护眼镜：GB19082-2009
医用手套：GB10213-2006
医用帽、防护面罩、防冲击眼罩、一次性使用手术衣",湖北省天门市人民大道东1号 天门市第一人民医院 物资供应科,赵老师 +86 15871920991  李老师 +86 13545998801  严老师 +86 13349708315,,,已配送
孝感,孝感市中医院,,N95/医用外科口罩/护目镜/医用防护服/一次性手术衣/防冲击眼罩/防护面罩/医用帽," 医用防护N95：GB19083-2010
医用外科口罩：YY0469-2010
防护服 ：GB 19082-2003《医用一次性防护服技术要求》",孝感市孝南区槐荫大道249号孝感市中医医院,"罗主任(耗材科) 13995866101
洪菊华(总务科) 13971949572",已核实：丁香园。,,
孝感  ,孝感市中心医院,,N95/医用外科口罩/护目镜/医用防护服/一次性手术衣/防冲击眼罩/防护面罩/医用帽," 医用防护N95：GB19083-2010
医用外科口罩：YY0469-2011
防护服 ：GB 19082-2003《医用一次性防护服技术要求》",湖北省孝感市孝南区广场街6号孝感市中心医院,"联系电话: 0712-2471575
杨老师13508690618; 
彭 老师18671292014",,,500个n9
武穴,武穴市第一人民医院,,N95/医用外科口罩/一次性医用口罩/医用帽/防护服/护目镜/防护面罩/医用一次性乳胶手套,医用防护口罩GB19083-2010医用外科口罩YY 0469-2010.N95口罩GB 19083-2010 医用一次性乳胶手套 GB 10213-2006 防护服符合GB19092-2009,湖北省黄冈市武穴市刊江大道216号,0713-6759553  杨胜文 +86 13635869509  陶筱颖 ——86 18782520800,,,
武穴,武穴市广济爱心协会,,N95/医用外科口罩/一次性医用口罩/防护帽/一次性医用防护服/手术衣/护目镜/医用一次性乳胶手套/洁肤柔免洗手消毒凝胶/万金消毒片,大量,,陈猛 13986545110,,,
汉川,汉川市第二人民医院,1.医用外科口罩 N95口罩 防护服（急需越多越好） 护目镜（100-200个）2.货车可到3. 顺丰可到（最后更新：25日15:18）,N95/医用外科口罩/一次性口罩/医用防护服/一次性手术衣/防护面罩/防冲击眼罩/一次性圆帽,大量,汉川市第二人民医院,0712-8512143   刘志刚 13733462690   刘运涛13972694877,1.医用外科口罩 N95口罩 防护服（急需越多越好） 护目镜（100-200个）2.货车可到3. 顺丰可到,,
汉川,汉川中医医院,"1.外科口罩 N95口罩 防护服 护目镜 医用手套（越多越好 急需）
2.货车可以送到3.物流不清楚应该不可以（最后更新：25日15:21）",N95/护目镜/外科口罩/一次性医用口罩/医用帽/防护服/手术衣/防冲击眼罩/防护面罩,大量,湖北省汉川市西湖大道26号,0712-8292455  王科长 13789972938,"1.外科口罩 N95口罩 防护服 护目镜 医用手套（越多越好 急需）
2.货车可以送到3.物流不清楚应该不可以",,
,湖北省第三人民医院,,N95/外科口罩/护目镜/防护服/一次性医用口罩/一次性手术衣/防护面罩/防冲击眼罩/一次性圆帽,/,湖北省武汉市桥口区中山大道26号湖北省第三人民医院医学装备部,027-83743013  杨先生 +86 15102749696   李先生 +86 18507106399,,,
洪湖,洪湖市人民医院,已核实信息,防护服/n95口罩/护目镜,大量,湖北省洪湖市新堤城区名流大道与洪湖大道交叉口协和分院洪湖人民医院,"钟欣医生（五官科科主任）
：18071277271",,,n95口罩 500个
孝昌县,孝昌县第一人民医院,,护目镜、N95ロ罩、外科口罩、一次性医用口罩、医用帽、防护服、手术衣、防冲击眼罩、防护面罩,,湖北省孝昌县汇通大道具第入民医院,"医务科熊主任13429939157
24小时值班电话:0712-4768435",,,300个护目镜 10套防护服
黄石,黄石市第五医院,,N95/护目镜/外科口罩/一次性医用口罩/医用帽/防护服/手术衣/防冲击眼罩/防护面罩,大量,湖北省黄石市下陆区下陆大道33号,"陆老师13317238996
冯老师13872056964",已核实：丁香园。,,
广水市,广水市第一人民医院,,"N95口罩，护目镜，防护服
规格：不带气阀型套、一次性医用帽、防冲击眼置、防护面罩、防污染鞋棄",,湖北省广水市应山街道四贤路10号 广水市第一人民医院,"联系人：刘方学
电话：13972983383
",,,
孝感,孝感市妇幼保健院,,防护服、手术衣、护目镜，N95口罩，医用外科口罩、一次性医用口罩、一次性医用乳服,,湖北省孝感市孝南区城站路73号孝感市妇幼保健院,胡主任(设备科) 13477716433 ;,,,
松滋,松滋市人民医院,,N95口罩(有注册证，无阀门)、医用外科口罩、医用防护服（连体带鞋套)、防护面罩、护目镜、84消毒液、一次性消毒床罩、一次性普通口罩、一次性医用帽、一次性使用手术衣、一次性医用手套等,,松滋市人民医院（湖北省松滋市新江口街道民主路108号）,湖北省孝感市孝南区城站路73号孝感市妇幼保健院,,,
大治市,大冶市人民医院,,N95/护目镜/外科口罩/一次性医用口罩/医用帽/防护服/手术衣/防冲击眼罩/防护面罩,"医用防护口罩GB19083-2010
医用外科口罩YY0469-2011
防护服符合GB19082-2003《医用一次性防护服技术要求》",湖北省大冶市城北开发区东风路25号,"罗老师: 13687187228
梁老师: 15826955767
赵老师: 13972785028",,,
恩施,恩施市中心医院,,N96/护目镜/外科口罩/一次性医用口罩/医用帽/防护服/手术衣/防冲击眼罩/防护面罩,"医用防护口罩GB19083-2010
医用外科口罩YY0469-2011
防护服符合GB19082-2004《医用一次性防护服技术要求》",湖北省恩施市航空大道234号,0718-8223261；马老师 18972411999,,,
恩施,湖北民族大学附属民大医院,,,,湖北省恩施市土桥大道五峰山路二号,潘国华，15272214410,,,已配送
